,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
175,2012-11-23,Sacramento,Utah,32.0,21.0,27.0,22.0,102.0,380.0,28.0,24.0,21.0,31.0,104.0,-480.0,9.0,Home,194.5,23,11,2012.0
176,2012-11-23,NewOrleans,Phoenix,31.0,22.0,28.0,22.0,108.0,180.0,23.0,24.0,30.0,26.0,111.0,-220.0,5.5,Home,196.0,23,11,2012.0
177,2012-11-23,Minnesota,Portland,33.0,22.0,23.0,17.0,95.0,110.0,28.0,22.0,31.0,22.0,103.0,-130.0,1.5,Home,197.5,23,11,2012.0
178,2012-11-24,OklahomaCity,Philadelphia,29.0,21.0,35.0,13.0,116.0,-180.0,21.0,28.0,30.0,19.0,109.0,160.0,4.5,Away,191.5,24,11,2012.0
179,2012-11-24,Charlotte,Washington,25.0,25.0,22.0,20.0,108.0,165.0,24.0,27.0,21.0,20.0,106.0,-190.0,4.5,Home,188.0,24,11,2012.0
180,2012-11-24,LAClippers,Atlanta,24.0,17.0,19.0,33.0,93.0,-135.0,21.0,30.0,34.0,19.0,104.0,115.0,2.0,Away,188.5,24,11,2012.0
181,2012-11-24,Cleveland,Miami,29.0,30.0,20.0,29.0,108.0,1835.0,26.0,22.0,29.0,33.0,110.0,-3635.0,15.0,Home,197.5,24,11,2012.0
182,2012-11-24,LALakers,Dallas,36.0,29.0,24.0,26.0,115.0,-125.0,23.0,15.0,27.0,24.0,89.0,105.0,1.5,Away,205.0,24,11,2012.0
183,2012-11-24,Chicago,Milwaukee,28.0,24.0,20.0,21.0,93.0,125.0,30.0,22.0,17.0,17.0,86.0,-145.0,2.5,Home,193.5,24,11,2012.0
184,2012-11-24,Utah,Sacramento,29.0,27.0,19.0,22.0,97.0,-115.0,23.0,28.0,32.0,25.0,108.0,-105.0,1.0,Away,196.0,24,11,2012.0
185,2012-11-24,Minnesota,GoldenState,18.0,33.0,23.0,11.0,85.0,135.0,16.0,31.0,23.0,26.0,96.0,-155.0,3.0,Home,197.0,24,11,2012.0
186,2012-11-25,SanAntonio,Toronto,24.0,25.0,20.0,19.0,111.0,-265.0,25.0,24.0,21.0,18.0,106.0,225.0,6.0,Away,196.0,25,11,2012.0
187,2012-11-25,Detroit,NewYork,22.0,22.0,28.0,28.0,100.0,650.0,32.0,32.0,22.0,35.0,121.0,-950.0,11.0,Home,190.0,25,11,2012.0
188,2012-11-25,Portland,Brooklyn,27.0,23.0,20.0,15.0,85.0,250.0,25.0,21.0,24.0,28.0,98.0,-300.0,7.5,Home,193.0,25,11,2012.0
